Model,Dataset,Samples,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Benign_F1,XSS_F1,SQLi_F1,PathTrav_F1,Latency_ms_per_sample
Logistic Regression,In-Domain Test A,62615,0.9969,0.976,0.9979,0.9865,0.998,0.9989,0.956,0.993,0.0005
Logistic Regression,Global Network Test B,354808,0.9969,0.9728,0.9972,0.9845,0.9979,0.9992,0.955,0.9858,0.0003
Logistic Regression,External OOD (CSIC 2010),122130,0.4852,0.5304,0.3204,0.2705,0.654,0.1966,0.2312,0.0,0.0005
Linear SVM (Calibrated),In-Domain Test A,62615,0.998,0.9843,0.9992,0.9915,0.9987,0.9995,0.968,1.0,0.0015
Linear SVM (Calibrated),Global Network Test B,354808,0.9982,0.9849,0.9989,0.9917,0.9988,0.9997,0.9723,0.9961,0.0023
Linear SVM (Calibrated),External OOD (CSIC 2010),122130,0.443,0.535,0.6242,0.389,0.6104,0.7101,0.2301,0.0054,0.0022
Random Forest,In-Domain Test A,62615,0.9966,0.9736,0.9986,0.9854,0.9977,0.9996,0.9442,1.0,0.0062
Random Forest,Global Network Test B,354808,0.9964,0.9712,0.9983,0.9839,0.9976,0.9997,0.9409,0.9975,0.007
Random Forest,External OOD (CSIC 2010),122130,0.9863,0.6937,0.7265,0.6773,0.9935,0.7881,0.267,0.6605,0.0117
XGBoost (GPU),In-Domain Test A,62615,0.8015,0.5946,0.8695,0.5983,0.8576,0.9776,0.4937,0.0645,0.0012
XGBoost (GPU),Global Network Test B,354808,0.8008,0.5935,0.8674,0.5972,0.8568,0.9776,0.4907,0.0638,0.0007
XGBoost (GPU),External OOD (CSIC 2010),122130,0.1931,0.4998,0.4668,0.3022,0.3108,0.87,0.0264,0.0018,0.0011
