Algorithm,Round,Global_Test_B_Acc,Global_Test_B_Macro_F1,Time_s
DAFL,1,0.9982553944668666,0.9870224575363095,1030.4884684085846
DAFL,2,0.9983033077044486,0.9872423126601256,1023.8319878578186
DAFL,3,0.998241302338166,0.9869530843479009,1025.44380402565
DAFL,4,0.9982976708529684,0.9870065984229179,1023.5625593662262
DAFL,5,0.9983202182588893,0.9873708752734186,1024.8904583454132
DAFL,6,0.998266668169827,0.9871806316323323,1025.6547644138336
DAFL,7,0.9983089445559289,0.9869620428827015,1024.671356678009
DAFL,8,0.9983033077044486,0.9871649715129572,1022.9940388202667
DAFL,9,0.9982976708529684,0.9871538617802978,1028.0870039463043
DAFL,10,0.9983427656648103,0.987394603752455,1027.6069853305817
