Algorithm,Round,Global_Test_B_Acc,Global_Test_B_Macro_F1,Time_s
FedAvgM,1,0.9992277513472075,0.9951190555466666,1011.7386183738708
FedAvgM,2,0.9986274266645623,0.9909191406426139,1011.9767305850983
FedAvgM,3,0.999098103763162,0.9940602286164042,1010.8679835796356
FedAvgM,4,0.9994926833667787,0.9966941599418184,1008.9502141475677
FedAvgM,5,0.9995828729904624,0.9970727140734603,1011.7544636726379
FedAvgM,6,0.9995208676241798,0.9963475530559639,1010.3741183280945
FedAvgM,7,0.9993996753173547,0.996338772404865,1008.5964789390564
FedAvgM,8,0.9996026019706433,0.9974490147853374,1007.4121403694153
FedAvgM,9,0.9996307862280445,0.9979126701580129,1011.0759580135345
FedAvgM,10,0.9996730626141462,0.9979470434437232,1010.604837179184
