Algorithm,Round,Global_Test_B_Acc,Global_Test_B_Macro_F1,Time_s
FedProx,1,0.9984273184370138,0.9880660261796261,1005.6403341293335
FedProx,2,0.9986415187932628,0.9903329172651316,1002.0283963680267
FedProx,3,0.9988472638722915,0.9916731391756053,1001.3805074691772
FedProx,4,0.998906450812834,0.9924089643031164,999.7704877853394
FedProx,5,0.9989825483078172,0.9926518043846324,1001.1354916095734
FedProx,6,0.9990079141394782,0.9930723834509906,1000.5217921733856
FedProx,7,0.9990304615453992,0.9932088628307131,1000.3702499866486
FedProx,8,0.9990671010800207,0.9931911557037693,1000.6657791137695
FedProx,9,0.9990530089513201,0.9933861238822339,1000.5192708969116
FedProx,10,0.9991375617235237,0.9939413140904146,1001.1754219532013
