Algorithm,Round,Global_Test_B_Acc,Global_Test_B_Macro_F1,Round_Time_s,client_1_Val_F1,client_2_Val_F1,client_3_Val_F1,client_4_Val_F1,client_5_Val_F1,client_6_Val_F1
DAFL,1,0.9977,0.984,47.25,0.5,0.5,0.4992,0.4977,0.4981,0.4997
DAFL,2,0.9977,0.9834,44.95,0.5,0.5,0.4984,0.498,0.4994,0.4997
DAFL,3,0.9978,0.9844,45.05,0.5,0.5,0.4981,0.4976,0.4994,0.4997
DAFL,4,0.9979,0.9846,45.27,0.5,0.5,0.4977,0.4976,0.499,0.4997
DAFL,5,0.9978,0.9844,45.65,0.5,0.5,0.4984,0.4976,0.4994,0.4997
DAFL,6,0.9979,0.9848,44.93,0.5,0.5,0.4981,0.498,0.4987,0.499
DAFL,7,0.9979,0.9847,45.23,0.5,0.5,0.4977,0.4977,0.4994,0.4997
DAFL,8,0.9979,0.9848,44.88,0.5,0.5,0.4988,0.4973,0.4994,0.4997
DAFL,9,0.9978,0.9842,45.39,0.5,0.5,0.4984,0.498,0.4987,0.4997
DAFL,10,0.9978,0.9844,46.89,0.5,0.5,0.4984,0.498,0.4994,0.4997
