Algorithm,Round,Global_Test_B_Acc,Global_Test_B_Macro_F1,Round_Time_s,client_1_Val_F1,client_2_Val_F1,client_3_Val_F1,client_4_Val_F1,client_5_Val_F1,client_6_Val_F1
FedAvg,1,0.9982,0.9861,46.4,0.5,0.4996,0.4981,0.498,0.4994,0.5
FedAvg,2,0.9982,0.9866,44.91,0.5,0.5,0.4984,0.498,0.4994,0.5
FedAvg,3,0.9983,0.9872,45.02,0.4996,0.5,0.4988,0.4973,0.4994,0.5
FedAvg,4,0.9983,0.9876,44.26,0.5,0.5,0.4981,0.4976,0.4994,0.499
FedAvg,5,0.9984,0.9881,44.85,0.5,0.5,0.4981,0.4976,0.4987,0.5
FedAvg,6,0.9984,0.9885,44.4,0.4996,0.5,0.4984,0.4984,0.4987,0.5
FedAvg,7,0.9985,0.9888,44.64,0.4996,0.5,0.4988,0.4973,0.4994,0.5
FedAvg,8,0.9984,0.9887,44.57,0.4996,0.5,0.498,0.4973,0.4994,0.5
FedAvg,9,0.9985,0.9891,44.58,0.5,0.5,0.4977,0.498,0.4994,0.5
FedAvg,10,0.9985,0.989,44.7,0.4996,0.5,0.4984,0.4973,0.4994,0.5
