Algorithm,Round,Global_Test_B_Acc,Global_Test_B_Macro_F1,Round_Time_s,client_1_Val_F1,client_2_Val_F1,client_3_Val_F1,client_4_Val_F1,client_5_Val_F1,client_6_Val_F1
FedAvgM,1,0.9982,0.9865,46.51,0.5,0.4996,0.4981,0.4976,0.4987,0.4997
FedAvgM,2,0.9977,0.9839,44.86,0.5,0.5,0.4981,0.4976,0.4994,0.4997
FedAvgM,3,0.9975,0.9807,44.04,0.5,0.5,0.498,0.4976,0.4987,0.5
FedAvgM,4,0.9981,0.984,45.74,0.5,0.5,0.4984,0.498,0.4987,0.499
FedAvgM,5,0.9979,0.9839,45.75,0.4996,0.5,0.4981,0.498,0.4987,0.4994
FedAvgM,6,0.9982,0.9867,45.07,0.4996,0.5,0.4981,0.4973,0.4987,0.5
FedAvgM,7,0.9984,0.9901,44.21,0.4996,0.5,0.4988,0.4977,0.4987,0.4994
FedAvgM,8,0.9985,0.99,44.27,0.4996,0.5,0.498,0.498,0.4994,0.4994
FedAvgM,9,0.9984,0.9898,44.25,0.4996,0.5,0.4984,0.4973,0.4994,0.5
FedAvgM,10,0.9983,0.9901,44.6,0.4996,0.5,0.4988,0.4977,0.4987,0.4994
