Algorithm,Round,Global_Test_B_Acc,Global_Test_B_Macro_F1,Round_Time_s,client_1_Val_F1,client_2_Val_F1,client_3_Val_F1,client_4_Val_F1,client_5_Val_F1,client_6_Val_F1
FedProx,1,0.9978,0.9844,47.29,0.4996,0.5,0.4988,0.498,0.4994,0.4997
FedProx,2,0.9979,0.9847,45.81,0.5,0.5,0.4984,0.498,0.4994,0.4997
FedProx,3,0.9981,0.9861,45.71,0.5,0.5,0.4988,0.4969,0.4994,0.4997
FedProx,4,0.9981,0.986,46.04,0.5,0.5,0.4984,0.4976,0.4994,0.5
FedProx,5,0.998,0.9857,46.04,0.5,0.5,0.4988,0.4976,0.4994,0.4997
FedProx,6,0.9982,0.9868,45.12,0.5,0.5,0.4988,0.498,0.4994,0.4997
FedProx,7,0.9982,0.987,45.38,0.5,0.5,0.4988,0.498,0.4994,0.5
FedProx,8,0.9983,0.9873,45.12,0.5,0.5,0.4988,0.4977,0.4994,0.4997
FedProx,9,0.9983,0.9874,44.93,0.5,0.5,0.4984,0.4977,0.4994,0.5
FedProx,10,0.9983,0.9873,44.68,0.5,0.5,0.4977,0.4973,0.4994,0.4997
