Algorithm,Round,Global_Test_B_Acc,Global_Test_B_Macro_F1,Round_Time_s,client_1_Val_F1,client_2_Val_F1,client_3_Val_F1,client_4_Val_F1,client_5_Val_F1,client_6_Val_F1
FedAvg,1,0.9982,0.9861,46.4,0.5,0.4996,0.4981,0.498,0.4994,0.5
FedAvg,2,0.9982,0.9866,44.91,0.5,0.5,0.4984,0.498,0.4994,0.5
FedAvg,3,0.9983,0.9872,45.02,0.4996,0.5,0.4988,0.4973,0.4994,0.5
FedAvg,4,0.9983,0.9876,44.26,0.5,0.5,0.4981,0.4976,0.4994,0.499
FedAvg,5,0.9984,0.9881,44.85,0.5,0.5,0.4981,0.4976,0.4987,0.5
FedAvg,6,0.9984,0.9885,44.4,0.4996,0.5,0.4984,0.4984,0.4987,0.5
FedAvg,7,0.9985,0.9888,44.64,0.4996,0.5,0.4988,0.4973,0.4994,0.5
FedAvg,8,0.9984,0.9887,44.57,0.4996,0.5,0.498,0.4973,0.4994,0.5
FedAvg,9,0.9985,0.9891,44.58,0.5,0.5,0.4977,0.498,0.4994,0.5
FedAvg,10,0.9985,0.989,44.7,0.4996,0.5,0.4984,0.4973,0.4994,0.5
FedProx,1,0.9978,0.9844,47.29,0.4996,0.5,0.4988,0.498,0.4994,0.4997
FedProx,2,0.9979,0.9847,45.81,0.5,0.5,0.4984,0.498,0.4994,0.4997
FedProx,3,0.9981,0.9861,45.71,0.5,0.5,0.4988,0.4969,0.4994,0.4997
FedProx,4,0.9981,0.986,46.04,0.5,0.5,0.4984,0.4976,0.4994,0.5
FedProx,5,0.998,0.9857,46.04,0.5,0.5,0.4988,0.4976,0.4994,0.4997
FedProx,6,0.9982,0.9868,45.12,0.5,0.5,0.4988,0.498,0.4994,0.4997
FedProx,7,0.9982,0.987,45.38,0.5,0.5,0.4988,0.498,0.4994,0.5
FedProx,8,0.9983,0.9873,45.12,0.5,0.5,0.4988,0.4977,0.4994,0.4997
FedProx,9,0.9983,0.9874,44.93,0.5,0.5,0.4984,0.4977,0.4994,0.5
FedProx,10,0.9983,0.9873,44.68,0.5,0.5,0.4977,0.4973,0.4994,0.4997
FedAvgM,1,0.9982,0.9865,46.51,0.5,0.4996,0.4981,0.4976,0.4987,0.4997
FedAvgM,2,0.9977,0.9839,44.86,0.5,0.5,0.4981,0.4976,0.4994,0.4997
FedAvgM,3,0.9975,0.9807,44.04,0.5,0.5,0.498,0.4976,0.4987,0.5
FedAvgM,4,0.9981,0.984,45.74,0.5,0.5,0.4984,0.498,0.4987,0.499
FedAvgM,5,0.9979,0.9839,45.75,0.4996,0.5,0.4981,0.498,0.4987,0.4994
FedAvgM,6,0.9982,0.9867,45.07,0.4996,0.5,0.4981,0.4973,0.4987,0.5
FedAvgM,7,0.9984,0.9901,44.21,0.4996,0.5,0.4988,0.4977,0.4987,0.4994
FedAvgM,8,0.9985,0.99,44.27,0.4996,0.5,0.498,0.498,0.4994,0.4994
FedAvgM,9,0.9984,0.9898,44.25,0.4996,0.5,0.4984,0.4973,0.4994,0.5
FedAvgM,10,0.9983,0.9901,44.6,0.4996,0.5,0.4988,0.4977,0.4987,0.4994
DAFL (Ours),1,0.9977,0.984,47.25,0.5,0.5,0.4992,0.4977,0.4981,0.4997
DAFL (Ours),2,0.9977,0.9834,44.95,0.5,0.5,0.4984,0.498,0.4994,0.4997
DAFL (Ours),3,0.9978,0.9844,45.05,0.5,0.5,0.4981,0.4976,0.4994,0.4997
DAFL (Ours),4,0.9979,0.9846,45.27,0.5,0.5,0.4977,0.4976,0.499,0.4997
DAFL (Ours),5,0.9978,0.9844,45.65,0.5,0.5,0.4984,0.4976,0.4994,0.4997
DAFL (Ours),6,0.9979,0.9848,44.93,0.5,0.5,0.4981,0.498,0.4987,0.499
DAFL (Ours),7,0.9979,0.9847,45.23,0.5,0.5,0.4977,0.4977,0.4994,0.4997
DAFL (Ours),8,0.9979,0.9848,44.88,0.5,0.5,0.4988,0.4973,0.4994,0.4997
DAFL (Ours),9,0.9978,0.9842,45.39,0.5,0.5,0.4984,0.498,0.4987,0.4997
DAFL (Ours),10,0.9978,0.9844,46.89,0.5,0.5,0.4984,0.498,0.4994,0.4997
